unspsc,root_domain,page_url,product_title,brand,eco_friendly,merged_description,product_identifier,intended_industries,applicability,ethical_and_sustainability_practices,materials,ingredients,manufacturing_countries,manufacturing_type,customization,packaging_type,form,quality_standards_and_certifications,miscellaneous_features,production_capacity,price,size,color,purity,energy_efficiency,pressure_rating,power_rating
Tiles and flagstones,dozanmosaic.com,https://www.dozanmosaic.com/mosaic-recycled-materials_sp_3,"Big Hex Porcelain Tile 8"" 20*23mm",,,"These porcelain tiles are 8"" in size and 20*23mm in thickness, designed for various applications. They offer a durable and stylish solution.",[],"['Construction', 'Interior Design']",[],[],['Porcelain'],[],[],[],[],[],[],[],['big hexagonal pieces'],[],[],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '8'}, {'dimension': 'Thickness', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '20'}, {'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '20'}, {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '23'}, {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '20'}, {'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '23'}]",[],[],[],[],[]
Cleaning and disinfecting solutions,diversey.com,https://diversey.com/en/product-catalogue?f%5B0%5D=domain_access%3Adiversey_com&f%5B1%5D=product_family%3A1671&f%5B2%5D=product_family%3A1779,Bio-Floor,Bio-Floor,,"""Cleaning Product"" is a cleaning product designed for effective cleaning and maintenance.",[],['Cleaning'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Bottles,tricorbraun.com,https://www.tricorbraun.com/our-story,BioBottles™,TricorBraun,True,"""Cosmetics Packaging Bottles"" manufactured by TricorBraun are designed for cosmetics packaging, specifically for storing and dispensing cosmetic products. These bottles are available in various sizes and are ideal for handling small quantities of cosmetic ingredients.",[],"['Food & Beverage', 'Cosmetics']","['eco-friendly packaging solutions', 'Storing Cosmetic Ingredients']",[],[],[],[],[],[],[],[],[],[],[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'Various'}]",[],[],[],[],[]
Sealants,bladedepotstore.com,https://bladedepotstore.com/products/bioseal-white-silicone-sealant-caulk-general-purpose-no-odor-for-glass-and-stone?variant=39500546474043,BioSeal White Silicone Sealant Caulk General Purpose No Odor for Glass and Stone,,,"The BioSeal White Silicone Sealant Caulk General Purpose No Odor for Glass and Stone is a versatile and high-performance product designed for a wide range of applications. Priced at $7.99, this sealant is available in a 10.1oz bottle and is suitable for both indoor and outdoor projects. It is particularly effective for use on glass, stone, marble, granite, quartz, tiles, ceramic, and sheet metal, without the need for a primer. The sealant is water-resistant, flexible, and durable, with a 50-year lifespan, ensuring long-lasting performance. It is easy to apply, featuring a 4-inch tip that allows for precise application. The product is non-sag and slumpy, providing excellent adhesion to various surfaces. It is approved for use on cultured marble, glass, and window and door applications, making it ideal for both professional and DIY projects. The sealant cures rapidly when exposed to atmospheric moisture, forming a tight bond that is resistant to cracking, crumbing, and degradation. It is suitable for use on areas exposed to weather, such as windows, doors, molding, vents, baseboards, basements, attics, siding, and trim. The BioSeal White Silicone Sealant Caulk is also approved for use on bathroom and kitchen countertops. For optimal results, it is recommended to prepare a clean surface, cut the nozzle to the desired bead size, and apply the sealant with a caulking gun. The product is available for purchase in various quantities, including single units, boxes of 25, and sets of 2 boxes, totaling 50 units. It can be picked up at the New York Warehouse, usually ready within one hour, or delivered with free shipping. Payment options include PayPal and other methods. This sealant is engineered to provide a reliable and durable solution for sealing and caulking needs, making it a valuable addition to any professional or DIY toolkit.",['SKU: Bioseal-GP-White-Single'],"['Home Improvement', 'Construction']","['Sealing Glass, Marble, Granite, Quartz, Tiles, Ceramic, Windows, Doors, Molding, Vents, Baseboards, Basements, Attics, Siding, Trim', 'Bathroom Countertops', 'Kitchen Countertops', 'Sealing Glass, Stone, Marble, Granite, Quartz, Tiles, Ceramic, Sheet Metal', 'Sealing and Caulking']",[],[],[],['US'],[],[],"['Bottles', 'Boxes']",['Liquid'],[],"['Rapid curing', 'Non-sag and slumpy', '4-inch tip for precise application', 'Approved for use on cultured marble, glass, and window and door applications', 'Cures rapidly when exposed to atmospheric moisture', 'Suitable for use on bathroom and kitchen countertops', 'Approved for cultured marble', 'Easy to gun', 'Approved for use on cultured marble', 'Non-sag and slump design']",[],"[{'amount': 7.989999771118164, 'currency': 'USD', 'type': 'exact'}]",[],"[{'original': 'White', 'simple': 'White'}]",[],[],[],[]
Office time recording machines and accessories,visionxp.in,https://www.visionxp.in/page/cctv-security-ip-camera-manufacturers-in-munnar,Biomatrix Time Attendance Machine,VisionXP,,"A biomatrix time attendance machine designed for public safety, providing advanced time tracking capabilities. Manufactured in Munnar, Kerala, this camera is part of VisionXP's innovative surveillance product line.",[],"['Technology', 'Public Safety', 'Corporate']","['Time Tracking', 'time tracking', 'attendance management']",[],[],[],['IN'],[],[],[],[],[],"[""Part of VisionXP's innovative surveillance product line"", 'Designed for public safety']",[],[],[],[],[],[],[],[]
Garlics,papandrea.com.au,https://papandrea.com.au/collections/all/product-infuseria+product-cacciatore-and-nduja+product-salami-long+meat-wild-boar+product-miscellaneous,Black Garlic,Papandrea Fine Foods,,"""Black Garlic"" is a garlic product made from Australian free-range pork, designed to offer a unique and flavorful culinary experience. It is available for delivery across Australia.",[],['Food & Beverage'],"['cooking', 'culinary experiences', 'seasoning']",[],[],[],['AU'],[],[],[],['Solid'],[],"['made from Australian free-range pork', 'highly addictive']",[],[],[],"[{'original': 'Black', 'simple': 'Black'}]",[],[],[],[]
Sealants,blackjackcoatings.com,https://blackjackcoatings.com/pages/coverage-calculator,Black Jack® Neo-Seal,Black Jack Coatings,,A sealant designed for various sealing applications. It is part of the Black Jack Coatings product line. Priced at $8.99 USD.,[],"['Automotive', 'Construction']","['Sealing Applications', 'Providing Durable And Protective Layer For Various Surfaces']",[],[],[],[],[],[],[],[],[],[],[],"[{'amount': 8.989999771118164, 'currency': 'USD', 'type': 'exact'}]",[],"[{'original': 'Black', 'simple': 'Black'}]",[],[],[],[]
Cleaning equipment|Gambling tables and games,diversey.com,https://diversey.com/en/product-catalogue?f%5B0%5D=domain_access%3Adiversey_com&f%5B1%5D=product_family%3A1069&f%5B2%5D=product_family%3A1837,Blackjack,Blackjack,,"""Blackjack"" is a product under the Blackjack brand, designed for effective cleaning and maintenance.",[],"['Cleaning & Maintenance', 'Cleaning']",[],[],[],[],[],[],['Designed for various cleaning applications'],[],[],[],[],[],[],[],[],[],[],[],[]
Medical documentation products,briggshealthcare.com,"https://www.briggshealthcare.com/products/documentation/register-books/custitemstyle_matrix/Blank-Register,Emergency-Room,Patient-Register",Blank Register,,,"A versatile register book suitable for various healthcare settings including emergency rooms and patient rooms. Available in multiple styles such as Blank-Register, Emergency-Room, and Patient-Register. Price: $203.00.",[],['Healthcare'],"['medical documentation', 'Healthcare Settings']",[],[],[],[],[],"['Available in multiple styles', 'Blank register book for various medical documentation needs']",[],[],[],"['Available in multiple styles: Blank-Register, Emergency-Room, Patient-Register']",[],"[{'amount': 203.0, 'currency': 'USD', 'type': 'exact'}]",[],[],[],[],[],[]
Bedclothes,46889-in.all.biz,https://46889-in.all.biz/goods,Blankets,Focus Sourcing,,"""Blankets"" are crafted using sophisticated CAD software and advanced machines, featuring complex and beautiful designs with intricate embroidery and printed elements.",[],"['Textile', 'Home Furnishings']",[],[],[],[],['IN'],[],[],[],[],[],"['printed designs', 'intricate embroidery']",[],[],[],[],[],[],[],[]
Pyrotechnics,borderlinefireworksoutlet.com,https://borderlinefireworksoutlet.com/products/blockbuster-smoke-balls-12s?pr_prod_strat=jac&pr_rec_id=e945c9ec6&pr_rec_pid=9167491105087&pr_ref_pid=9167643640127&pr_seq=uniform,BlockBuster Smoke Balls 12's,BlockBuster,,"The BlockBuster Smoke Balls 12's by Blockbuster are a vibrant and exciting addition to any fireworks display. These smoke balls are paper-covered and come in a box containing 6/12 units, with the UPC matching the package of 12. Each unit is designed to create a spectacular visual effect, making them ideal for various celebratory events. The product is priced at $1.35 per unit, with a total cost of $1.50 for a box of 12 units. The smoke balls are part of the BlockBuster brand, known for its high-quality fireworks. These smoke balls are perfect for creating a cloud of smoke that can be used to enhance the overall ambiance of any event. The packaging ensures that the product is well-protected and easy to handle. The BlockBuster Smoke Balls 12's are a reliable choice for those looking to add a touch of magic to their celebrations.",['UPC: 123456789'],['Entertainment'],['Fireworks Displays'],[],[],[],[],[],[],['Boxes'],[],[],"['Box containing 6/12 units', 'Paper-covered']",[],"[{'amount': 1.350000023841858, 'currency': 'USD', 'type': 'exact'}]",[],[],[],[],[],[]
Draw formed components|Landscape architecture materials|Specialty steel sheets|Structural products,metalukraine.com,https://metalukraine.com/page/521,Bloom,,,"Blooms are flat, thin structural members used in various industrial applications. They are available in different materials and sizes to meet specific industrial requirements. Blooms are used in industries such as construction, manufacturing, and transportation.",[],"['Automotive', 'Construction', 'Transportation', 'Manufacturing', 'Engineering']",[],[],"['Metal', 'Steel']",[],['UA'],[],[],[],[],[],[],[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'flat'}]",[],[],[],[],[]
Locks and security hardware and accessories,visionxp.in,https://www.visionxp.in/page/cctv-security-ip-camera-manufacturers-in-kaithal,Bluetooth Door Lock,VisionXP,,"The ""Bluetooth Door Lock"" manufactured by VisionXP is designed for wireless access control, enhancing security by allowing remote unlocking and locking of doors.",[],"['Technology', 'Corporate']","['wireless access control', 'public safety']",[],[],[],['IN'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Bath and body,thekitchenapothecary.com,https://thekitchenapothecary.com/tag/gelatin/,Body Scrubs,,True,"""Body Scrubs"" are crafted from kitchen scraps and are designed to rejuvenate the skin. These scrubs are integral to the Agrarian Kitchen restaurant and cooking school, highlighting their role in culinary and skincare applications.",[],"['Health & Beauty', 'Food & Beverage', 'Education']",['Skin Care'],[],[],[],[],[],[],[],[],[],"['upcycles kitchen scraps', 'designed to rejuvenate and uplift the skin', 'made from kitchen scraps', 'designed for skin rejuvenation']",[],[],[],[],[],[],[],[]
Bins and baskets,kinandco.uk,https://kinandco.uk/product-category/events/,Bolga Basket Lime Green,,,"""The 'Basket' is a basket from the Bolga collection, designed for carrying groceries or other items. It features a lime green color.""",[],['Home & Living'],"['Carrying Groceries', 'Carrying Items']",[],[],[],[],[],[],[],[],[],[],[],[],[],"[{'original': 'Lime Green', 'simple': 'Green'}]",[],[],[],[]
Cleaning and disinfecting solutions,diversey.com,https://diversey.com/en/product-catalogue?f%5B0%5D=domain_access%3Adiversey_com&f%5B1%5D=product_family%3A1106&f%5B2%5D=product_family%3A1732,Bona,Bona,,"""Flooring Maintenance and Cleaning Products"" is a collection of products designed for flooring maintenance and cleaning.",[],"['Home & Garden', 'Cleaning']","['flooring maintenance', 'flooring cleaning']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Mortuary equipment and supplies,bkbooks.com,https://bkbooks.com/collections/booklet-bundles/life-threatening-illness+grief,Booklet End of Life Bundle,,,"The ""Booklet End of Life Bundle"" is a collection of individual booklets focused on end of life issues, providing practical guidance and support.",[],['Healthcare'],"['Support And Information For End Of Life Issues', 'end of life issues']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Medical documentation products|Mortuary equipment and supplies|Printed publications,bkbooks.com,https://bkbooks.com/collections/all/signs-of-dying+end-of-life,Booklet,Barbara Karnes,,A collection of booklets titled 'Signs of Death' literature on death in Italian. These booklets are designed to educate and support families and professionals experiencing the death and dying process.,[],"['Publishing', 'Education', 'Healthcare', 'Support Services']","['Support And Guidance During Death And Dying Process', 'Educating And Supporting Families And Professionals Experiencing The Death And Dying Process', 'Providing Concise Information', 'End of Life Support']",[],[],[],['IT'],[],['Available in booklet format'],[],[],[],[],[],[],[],[],[],[],[],[]
Suits,bristolgeneralstore.com,https://www.bristolgeneralstore.com/collections/new-tea,Born Living Yoga | Danday Jumpsuit,Born Living Yoga,,"The ""Danday Jumpsuit"" is designed by Born Living Yoga and is intended for style and comfort, making it suitable for various occasions.",[],"['Fashion', 'Retail']",['Wearing For Various Occasions'],[],[],[],[],[],"['Designed for style and comfort', 'Suitable for various occasions']",[],[],[],[],[],"[{'amount': 57.95000076293945, 'currency': 'EUR', 'type': 'exact'}]",[],[],[],[],[],[]
Engineered wood products|Interior laminates|Other|Semi precious stones,havanaconnect.com,https://www.havanaconnect.com/shop/?yith_wcan=1&product_tag=mandal-collection&brand=artiq-quartz,Bornholm Collection,Havana Konzept,True,"""The 'Laminates' features laminates with a Bornholm wood grain pattern, designed to offer a unique and elegant aesthetic. This collection includes options such as Varmdo, Woodgrain, Tempest, Talus, and Chalk Marker Grade, catering to diverse design preferences.""",[],"['Cabinetry', 'Furniture', 'Construction', 'Manufacturing', 'Home Decor', 'Interior Design']","['Various Uses', 'laminates applications', 'decorative purposes']",[],"['Quartz', 'Chipboard', 'Laminates']",[],[],[],"['Available in various applications', 'Available in various collections']",[],[],[],"['Available in multiple collections: Varmdo, Woodgrain, Tempest, Talus, Chalk Marker Grade', 'Bornholm wood grain pattern']",[],[],[],[],[],[],[],[]
Pipe connectors,akathermhdpe.com,https://akathermhdpe.com/en/catalog/reducers/bends/elbows/groups/p+p+p+view,Branches,,,"""Plumbing Fittings"" are plumbing fittings used to connect two or more pipes, facilitating the distribution of water or other fluids. They are integral to the Akatherm HDPE drainage system solutions.",[],"['Construction', 'Plumbing']","['Connecting Pipes', 'drainage system solutions', 'distributing pipe flow in plumbing systems']",[],['HDPE'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Bath and body|Cleaning and disinfecting solutions|Cleaning equipment,diversey.com,https://diversey.com/en/product-catalogue?f%5B0%5D=domain_access%3Adiversey_com&f%5B1%5D=product_family%3A879&f%5B2%5D=product_family%3A1069,Brasso,Diversey,,"""Personal Care Items"" is a collection of products under the Personal Care Items brand, featuring various dispensers and personal care items.",[],"['Personal Care', 'Cleaning']",[],[],[],[],[],[],['Various dispensers and personal care items'],[],[],[],[],[],[],[],[],[],[],[],[]
Electrical lugs plugs and connectors|Hardware and fittings,genuineliftgateparts.com,https://www.genuineliftgateparts.com/anteo/liftgate-cantilever/custitem_anteof3re_liftgate/F3RE49/custitem_anteorep_liftgate/REP25,Breather Circuit Fitting 8mm,,,"The ""Breather Circuit Fitting"" is designed to provide a secure and leak-proof connection for circuit systems, ensuring reliable operation.",[],"['Automotive', 'Construction']","['breather circuit fitting', 'electrical connections']",[],[],[],[],[],[],[],[],[],['secure and leak-proof connection'],[],[],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '8'}]",[],[],[],[],[]
Tape,tvcolortape.com,https://www.tvcolortape.com/products/bright-orange-tv-color-tape?pr_prod_strat=e5_desc&pr_rec_id=8aa41f0f3&pr_rec_pid=7002723418302&pr_ref_pid=7030125134014&pr_seq=uniform&variant=40773207064766,Bright Orange TV Color Tape,3M,,"The Bright Orange TV Color Tape is a premium customizable vinyl wrap designed specifically for TV frame bezels and computer monitors. Priced at $59.99, this product is available in a variety of sizes ranging from 32 inches to 150 inches, catering to different display sizes including 65, 55, 50, 43, 42, 32, and more. The tape is manufactured by 3M™ and features a 2-mil, cast, durable film that is both permanent and removable, thanks to its pre-spaced application. The film is clear, pressure-sensitive, and comes with a paper liner, ensuring a clean and residue-free application. The adhesive color is clear, eliminating any residue after application. This product is designed for use on flat, flat with rivets, and simple curves surfaces, making it versatile for various display monitor applications. It is suitable for use on plastic, glass, and metal surfaces. The Bright Orange TV Color Tape is intended for use on TV, monitor, and display bezels, and it should not touch the actual TV or monitor screen directly. The tape is easy to apply by simply pressing it onto the surface, and it can be easily removed without leaving any adhesive residue. The product boasts a maximum durability of 7 years, ensuring long-term use. It is important to note that this product is only for use on TV, monitor, and display bezels and should not be applied to the actual TV or monitor screen. The Bright Orange TV Color Tape is a high-quality, customizable solution for protecting and enhancing the aesthetic appeal of your TV frame bezels and computer monitors.",[],"['Technology', 'Home Decor']","['TV frame bezels', 'computer monitors', 'monitor bezel customization', 'display bezel customization', 'TV frame customization']",[],[],[],[],[],"['Customizable with new colors and textures', 'Customizable vinyl wrap']",[],[],[],"['Pre-spaced application', 'Paper liner', 'Can be easily peeled off without leaving any adhesive residue', 'Clear, pressure-sensitive adhesive', '2-mil, cast, durable film', 'Maximum durability of 7 years']",[],"[{'amount': 59.999000549316406, 'currency': 'USD', 'type': 'exact'}, {'amount': 59.9900016784668, 'currency': 'USD', 'type': 'exact'}]","[{'dimension': 'Width', 'qualitative': False, 'type': 'min', 'unit': 'in', 'value': '32'}, {'dimension': 'Width', 'qualitative': False, 'type': 'max', 'unit': 'in', 'value': '150'}]","[{'original': 'Bright Orange', 'simple': 'Orange'}]",[],[],[],[]
Video and combination video and audio presentation equipment and hardware and controllers,dittools.eu,https://dittools.eu/collections/best-selling-products/livegrade_lut-box+broadcast-switchers_portable+grading-panels_portable,Broadcast Switchers,,,"""Broadcast Switchers"" are portable devices designed for live events and studio applications, offering seamless switching and control for various video sources.",[],"['Live Events', 'Broadcasting', 'Production']","['studio video source control', 'live event switching', 'switching between video sources']",[],[],[],[],[],['Seamless switching and control for various video sources'],[],[],[],['Portable'],[],[],[],[],[],[],[],[]
Cleaning and janitorial carts and accessories,stubbynozzles.com,https://stubbynozzles.com/products/bucketcaddy-wheel-tire-detailing-brush-organizer-for-5-gallon-and-6-gallon-car-wash-buckets?pr_prod_strat=pinned&pr_rec_id=820b82a12&pr_rec_pid=8287658475795&pr_ref_pid=8287239176467&pr_seq=uniform,"BucketCaddy - Wheel, Tire, & Detailing Brush Organizer for 5-gallon and 6-gallon Car Wash Buckets",,,"The BucketCaddy - Wheel, Tire, & Detailing Brush Organizer for 5-gallon and 6-gallon Car Wash Buckets is an essential accessory designed to enhance the organization and accessibility of your car washing tools. Priced at $39.99, this organizer is specifically engineered to mount on the lip of either a 5-gallon or 6-gallon bucket, making it an ideal solution for keeping your brushes, wheel brushes, and detailing brushes neatly arranged and easily accessible. The BucketCaddy is compatible with a variety of brush types, including large and small EZ Detail Brushes, the Microfiber Madness Incredibrush, and brushes with rod-style handles up to 10.8mm in diameter. It also features two outer hooks for wheel and tire brushes or brushes with holes larger than 8mm, and three large holes for boars hair detailing brushes or a 12"" Wheel Woolie with holes measuring 20mm in diameter. Additionally, one small hole is designed to fit any standard 1/4"" QD pressure washer nozzle or an 8"" Wheel Woolie with a hole measuring 12.7mm in diameter. The BucketCaddy is constructed from durable PETG plastic and is 3D printed, ensuring longevity and resilience. It is manufactured in Atlanta, GA, and is available in a compact size of approximately 7.5""x7""x2"". The product is removable yet securely clips onto the bucket, making it easy to attach and detach. It is available in two versions: the ""Standard"" version for direct attachment to the bucket (no Gamma Seal required) and the ""Gamma Seal"" version for use with a Gamma Seal bucket. The BucketCaddy is currently patent pending, highlighting its innovative design. This organizer is particularly useful for car washers who struggle to find the right brush when washing their vehicles, and it also provides a safe drying solution for brushes when not in use. The product is designed to be user-friendly and efficient, ensuring that all your car washing tools are well-organized and easily accessible.",[],['Automotive'],"['car washing tool organization', 'car wash tool organization', 'organizing car wash tools', 'car washing']",[],['PETG Plastic'],[],[],['Turnkey'],[],[],[],[],"[""Compatible with 'Standard' and 'Gamma Seal' Versions"", 'Removable and securely clips onto the bucket', 'Currently patent pending', 'Patent Pending', 'Gamma Seal version for secure attachment', 'Patent-pending version', 'Removable yet securely clips onto the bucket', 'Gamma Seal for secure attachment', 'Removable and securely clips onto the bucket lip', ""Available in two versions: 'Standard' and 'Gamma Seal'"", 'Patent pending', 'Removable for Convenience', 'Removable for easy use and storage']",[],"[{'amount': 39.9900016784668, 'currency': 'USD', 'type': 'exact'}]","[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '7.5'}, {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '7'}, {'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '2'}]",[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'low'}]",[]
Surveillance and detection equipment,visionxp.in,https://www.visionxp.in/page/cctv-security-ip-camera-manufacturers-in-delhi,Bullet Camera,VisionXP,,"""The 'Bullet Camera' is designed for public safety and is suitable for use in corporate companies. It is manufactured in Jalgaon, Maharashtra.""",[],['Security'],['surveillance'],[],[],[],['IN'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Electrical transmission and distribution equipment,madhuriengineeringworks.com,https://www.madhuriengineeringworks.com/infrastructure.html,Busbar Support,Madhuri Engineering Works,,"""Busbar Support"" manufactured by Madhuri Engineering Works is a support system for busbars, categorized under their electrical components range.",[],['Electrical Engineering'],"['supporting busbars', 'Electrical Systems']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Hardware and fittings,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/button-tip-nozzles-1/tube-cleaning-nozzles+40k-sapphire-inserts+tube-cleaning+lance-nozzles,Button Tip Flex Lance Nozzles,,,"The Button Tip Flex Lance Nozzles are designed for efficient tube cleaning applications. These nozzles are part of the button tip series, which is known for its flexibility and effectiveness in cleaning various types of tubes. The flex lance design allows for a more ergonomic and comfortable handling, making it easier to maneuver in tight spaces. These nozzles are suitable for use in various industrial settings where tube cleaning is required.",[],"['Maintenance', 'Industrial']","['Flexible Tube Cleaning', 'Tube Cleaning', 'Cleaning Tubes']",[],[],[],[],[],['Customizable nozzle tips for specific cleaning applications'],[],[],[],"['flexible lance', 'easier to maneuver in tight spaces', 'button tip flex lance design', 'button tip design', 'flex lance design', 'Button Tip Design', 'Compatible with Sapphire Inserts', 'ergonomic and comfortable handling']",[],[],[],[],[],[],[],[]
Hardware and fittings,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/button-tip-nozzles-1/tube-cleaning-nozzles+15k-button+15k-flex-lance+flex-lance-nozzles,Button Tip Nozzles,,True,"Button Tip Nozzles are specialized components designed for precise and efficient tube cleaning applications. These nozzles are available in various models, including 10K flex lance nozzles, 40K button tip tube cleaning nozzles, and 40K button tip tube cleaning nozzles with sapphire inserts. The 10K flex lance nozzles are suitable for general tube cleaning tasks, while the 40K button tip tube cleaning nozzles are designed for more demanding applications, featuring sapphire inserts for enhanced durability and performance. These nozzles are typically used in industrial settings where high precision and reliability are required. The sapphire inserts add an extra layer of durability, making these nozzles ideal for harsh environments. The button tip design ensures a smooth and efficient cleaning process, reducing the risk of clogging and ensuring thorough cleaning of the tube. These nozzles are manufactured to meet high-quality standards, ensuring long-lasting performance and reliability. They are available in various sizes and configurations to suit different tube cleaning needs. The nozzles are packaged securely to prevent damage during transportation and storage. They are designed to be easy to install and maintain, making them a practical choice for industrial applications. The button tip nozzles are also eco-friendly, as they are made from materials that are recyclable and biodegradable. This makes them a sustainable option for businesses looking to reduce their environmental footprint. The nozzles are also compatible with various tube cleaning systems, ensuring versatility and ease of use. They are available for purchase through APS Canada, a distributor of high-quality industrial components. The company offers competitive pricing and efficient delivery services to ensure that customers receive their products promptly. Overall, button tip nozzles are essential tools for maintaining the cleanliness and efficiency of tube systems in industrial settings. With their robust construction, precise design, and compatibility with various tube cleaning systems, these nozzles provide a reliable solution for maintaining high standards of tube cleanliness and performance.",[],['Industrial'],"['Tube Cleaning Processes', 'Fluid Handling', 'Tube Cleaning', 'Cleaning']",['made from recyclable and biodegradable materials'],['Tungsten Carbide'],[],[],[],"['Suitable for various industrial cleaning tasks', 'Designed for efficient tube cleaning applications', 'Available in multiple configurations, including 15K, 10K, and 40K button tip options', 'Available in multiple models for different pressure requirements and cleaning efficiency needs']",['Secure packaging'],[],[],"['Designed to be compatible with different types of tubing and fittings', '15K button', '40K sapphire inserts', '15K flex lance', 'Easy to install and maintain', 'Clear Instructions for Setup and Operation', 'Button Tip Design', 'Flex lance design', '15K flex lance nozzles', 'Sapphire Inserts', 'Sapphire inserts', 'Sapphire inserts for enhanced durability and performance', 'Designed to be easy to install and maintain', 'Flex lance nozzles', 'Designed to fit various tube sizes', 'FNPT threads', '40K button tip tube cleaning nozzles', 'Button tip design ensures a smooth and efficient cleaning process', '40K button tip tube cleaning nozzles with sapphire inserts', '10K flex lance nozzles']",[],[],[],[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}, {'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'medium'}]",[]
Studs,bulkdrylining.co.uk,https://bulkdrylining.co.uk/stud-track-70mm.html,C Stud,,,"C Stud is a type of stud used in dry lining systems. It is available in various lengths and is priced per length. Bulk discounts are available for longer lengths. The price per length varies depending on the length: 2.4m priced at £2.80 + VAT (10), 2.7m at £3.17 + VAT (£2.41 + VAT), 3m at £3.52 + VAT (£3.00 + VAT), 3.6m at £4.37 + VAT (£3.62 + VAT), and 4.2m at £4.93 + VAT (£4.26 + VAT). Longer lengths are available on request.",[],['Construction'],['dry lining systems'],[],[],[],[],[],[],[],[],[],"['Available in various pack sizes', 'Bulk discounts for longer lengths']",[],"[{'amount': 2.799999952316284, 'currency': 'GBP', 'type': 'min'}, {'amount': 4.929999828338623, 'currency': 'GBP', 'type': 'max'}, {'amount': 2.4800000190734863, 'currency': 'GBP', 'type': 'min'}, {'amount': 4.369999885559082, 'currency': 'GBP', 'type': 'max'}]","[{'dimension': 'Length', 'qualitative': False, 'type': 'min', 'unit': 'm', 'value': '2.4'}, {'dimension': 'Length', 'qualitative': False, 'type': 'max', 'unit': 'm', 'value': '4.2'}]",[],[],[],[],[]
String instruments,schecterguitars.com,"https://www.schecterguitars.com/guitars/6-string/custitem_color_master_list/Satin-White,Scarlet-Burst,Silver-Mountain,Spalted-Maple,Steele-Green,Super-Sonic-Blue,Transparent-Purple-Burst,Ziricote",C-1 FR S Silver Mountain LH Guitar,,,"A left-handed version of the C-1 FR S Silver Mountain guitar, available in various colors including Satin White, Scarlet Burst, Silver Mountain, Transparent Purple Burst, Vintage Blue (VBLU), Vintage Sunburst Pearl, and Ziricote. It is designed for both right-handed and left-handed players. The guitar is priced at $2,119.00, currently on sale for $1,499.00.",[],"['Entertainment', 'Music']",[],[],[],[],[],[],['Available in various colors'],[],[],[],"['Available in multiple color options', 'Available in Satin White, Scarlet Burst, Super Sonic Blue, Trans Purple Burst, Ultra Violet, Ultra Violet (UV), and Ziricote', 'Available in multiple colors']",[],"[{'amount': 1499.0, 'currency': 'USD', 'type': 'min'}, {'amount': 2119.0, 'currency': 'USD', 'type': 'max'}, {'amount': 2119.0, 'currency': 'USD', 'type': 'exact'}]",[],"[{'original': 'Satin White', 'simple': 'White'}, {'original': 'Scarlet Burst', 'simple': 'Red'}, {'original': 'Spalted-Maple', 'simple': 'Brown'}, {'original': 'Trans-Black-Burst', 'simple': 'Black'}, {'original': 'Transparent-Sky-Burst', 'simple': 'Blue'}, {'original': 'Ultra-Violet', 'simple': 'Purple'}, {'original': 'Ziricote', 'simple': 'Green'}, {'original': 'Super Sonic Blue', 'simple': 'Blue'}, {'original': 'Transparent Amber', 'simple': 'Orange'}, {'original': 'Transparent Purple Burst', 'simple': 'Purple'}, {'original': 'Transparent Sky Burst', 'simple': 'Blue'}, {'original': 'Silver-Mountain', 'simple': 'Gray'}, {'original': 'Steeled-Green', 'simple': 'Green'}, {'original': 'Super-Sonic-Blue', 'simple': 'Blue'}, {'original': 'Transparent-Purple-Burst', 'simple': 'Purple'}, {'original': 'Ziricote', 'simple': 'Brown'}, {'original': 'Trans Purple Burst', 'simple': 'Purple'}, {'original': 'Ultra Violet', 'simple': 'Purple'}]",[],[],[],[]
